user_id,time_for_task_completion,widget_type,satisfaction
1,11.17,botfront,3
2,12.83,botfront,4
3,14.49,botfront,2
4,14.54,botfront,5
5,10.15,botfront,3
6,11.76,botfront,3
7,14.18,botfront,4
8,10.51,botfront,3
9,10.74,botfront,2
10,14.96,botfront,1
11,11.49,my_own_widget,4
12,13.89,my_own_widget,2
13,11.76,my_own_widget,3
14,12.13,my_own_widget,4
15,13.73,my_own_widget,1
16,13.21,my_own_widget,3
17,14.73,my_own_widget,1
18,10.19,my_own_widget,4
19,15.58,my_own_widget,2
20,13.73,my_own_widget,2
